dish_ID,Fat to Protein,Carb to Protein
dish_1561662216,0.664779915,1.514346648
dish_1561662054,0.92001943,1.017018136
dish_1562008979,0.628784854,0.287833035
dish_1560455030,0.154811715,4.837866109
dish_1558372433,0.014285714,0.021428571
dish_1565640549,0.593785373,2.666645719
dish_1563207364,0.917654897,2.042438374
dish_1561575474,1.660669649,5.822821526
dish_1563216717,0.170448651,0.492452896
dish_1565972591,0.714285714,0.214285714
dish_1568649312,0.428571429,20
dish_1562183096,0.916602673,1.169445663
dish_1563476551,0.601340407,0.873769466
dish_1559844951,1.830130826,2.32951758
dish_1562963704,0.791254471,1.838852834
dish_1566417398,6.759455344,2.634264685
dish_1561739238,1.033808769,3.967987216
dish_1562611680,1.211115198,1.545729932
dish_1564432238,0.824747453,1.241493702
dish_1563468327,0.807331672,4.751723384
dish_1562862493,1.099999918,0.159999988
dish_1558549008,0.222222222,4.333333333
dish_1560453174,0.564607625,0.327400117
dish_1562691032,1.228027607,2.176301669
dish_1563824250,0.090909091,8.181818182
dish_1560543755,0.510661119,1.571734157
dish_1558549773,0.137931034,1.24137931
dish_1563822597,0.528571467,1.857142788
dish_1566920365,0.087752012,0.682206842
dish_1563984242,0.066839499,0.745219177
dish_1558459276,0.111111111,10.37037084
dish_1560974707,0.669498982,2.368736268
dish_1564686855,0.916808937,1.511646981
dish_1565119669,0.314896868,3.313063407
dish_1566417516,1.083588534,0.697487719
dish_1558724031,1.834150921,1.833368806
dish_1558637393,2.209821386,1.013392822
dish_1563393217,0.163196561,3.420728228
dish_1562789268,0.69765518,1.987280231
dish_1563998323,0.613359726,0.666531759
dish_1559700851,5.059915061,1.647257363
dish_1561492204,0.421749062,1.320683527
dish_1567613057,0.122081271,1.12689286
dish_1563996485,2.781671364,3.970162012
dish_1564761488,0.384541045,1.866068375
dish_1559239151,0.137931034,1.24137931
dish_1559678330,5.059915555,1.647257487
dish_1563998210,0.219279904,0.095653197
dish_1565033110,0.172030427,2.73698069
dish_1564428444,2.191705323,3.172480292
dish_1558459115,1.585247733,6.568773126
dish_1558723777,0.666666667,46.66666667
dish_1558721757,2.209821247,1.013392789
dish_1564777960,0.632409501,0.615571522
dish_1558376306,1.41450782,0.21761658
dish_1558114086,0.014285714,0.021428571
dish_1558720236,2.081910126,1.894556927
dish_1563468269,0.316742081,18.53054355
dish_1558380557,1.663204163,0.762556504
dish_1562873028,0.7691345,1.632930168
dish_1558637769,0.666666667,46.6666645
dish_1558724959,1.712179547,2.676495539
dish_1558115867,2.209821429,1.013392857
dish_1561580370,0.917473198,2.994715342
dish_1562618000,0.610280235,0.520987336
dish_1561061658,1.372683046,2.757621311
dish_1559838402,0.723375881,8.221565822
dish_1564686832,0.733348685,1.190788716
dish_1561753238,0.474753072,0.485668204
dish_1566938026,0.523639653,1.120169079
dish_1562617703,1.43902439,5.975609978
dish_1559751801,0.754071447,1.121458837
dish_1564000490,0.479831278,1.243793903
dish_1564000459,0.463106011,1.234317596
dish_1558457530,0.166666667,2.777777778
dish_1558723449,0.666666667,46.66666667
dish_1567628157,0.961019227,0.69016168
dish_1566502505,0.704619118,1.039901695
dish_1565728415,0.70011877,1.393057351
dish_1565383026,3.79729364,3.301488227
dish_1558642089,0.222222222,11.11111111
dish_1566849923,3.590539895,7.746775442
dish_1562959732,0.50861629,1.078034036
dish_1560368972,0.59263765,0.928290912
dish_1566502537,0.580289203,0.81984761
dish_1561576590,1.444443949,3.77777691
dish_1558723866,0.166666667,2.777777778
dish_1564778030,1.036752933,0.76409637
dish_1561392512,0.428571429,20
dish_1564675118,2.007558793,16.78783775
